table_name,column_name,data_type,nullable,column_default
api_cache,key_hash,text,NOT NULL,
api_cache,cache_type,text,NOT NULL,
api_cache,model,text,NOT NULL,
api_cache,model_version,text,NOT NULL,'v1'::text
api_cache,request_payload,jsonb,NOT NULL,
api_cache,response_data,jsonb,NOT NULL,
api_cache,cost_usd,numeric,NULL,
api_cache,hit_count,integer,NOT NULL,0
api_cache,created_at,timestamp with time zone,NOT NULL,now()
api_cache,updated_at,timestamp with time zone,NOT NULL,now()
auth_logs,id,uuid,NOT NULL,gen_random_uuid()
auth_logs,tenant,character varying,NOT NULL,'idudes'::character varying
auth_logs,email,character varying,NOT NULL,
auth_logs,action,character varying,NOT NULL,
auth_logs,status,character varying,NOT NULL,
auth_logs,ip_address,character varying,NULL,
auth_logs,user_agent,text,NULL,
auth_logs,created_at,timestamp with time zone,NOT NULL,(now() AT TIME ZONE 'America/Phoenix'::text)
drive_sync_state,id,text,NOT NULL,'drive_changes'::text
drive_sync_state,page_token,text,NOT NULL,
drive_sync_state,last_sync_at,timestamp with time zone,NULL,now()
drive_sync_state,total_changes_processed,bigint,NULL,0
drive_sync_state,last_error,text,NULL,
embeddings,id,bigint,NOT NULL,nextval('embeddings_id_seq'::regclass)
embeddings,file_id,text,NOT NULL,
embeddings,filename,text,NOT NULL,
embeddings,chunk_index,integer,NOT NULL,
embeddings,text,text,NOT NULL,
embeddings,chunk_size,integer,NOT NULL,
embeddings,embedding,USER-DEFINED,NOT NULL,
embeddings,file_type,text,NULL,
embeddings,file_size,integer,NULL,
embeddings,created_at,timestamp with time zone,NULL,now()
embeddings,updated_at,timestamp with time zone,NULL,now()
embeddings,content_hash,text,NULL,
enrichment_logs,id,uuid,NOT NULL,gen_random_uuid()
enrichment_logs,tenant,text,NOT NULL,'idudes'::text
enrichment_logs,document_id,uuid,NOT NULL,
enrichment_logs,status,text,NOT NULL,
enrichment_logs,metadata_extracted,jsonb,NULL,
enrichment_logs,error_message,text,NULL,
enrichment_logs,created_at,timestamp with time zone,NOT NULL,(now() AT TIME ZONE 'America/Phoenix'::text)
file_pipeline_status,file_id,character varying,NOT NULL,
file_pipeline_status,filename,character varying,NOT NULL,
file_pipeline_status,rag_status,character varying,NULL,'pending'::character varying
file_pipeline_status,rag_chunks_count,integer,NULL,0
file_pipeline_status,rag_embedding_count,integer,NULL,0
file_pipeline_status,rag_completed_at,timestamp without time zone,NULL,
file_pipeline_status,rag_error_message,text,NULL,
file_pipeline_status,social_status,character varying,NULL,'not_started'::character varying
file_pipeline_status,social_posts_generated,integer,NULL,0
file_pipeline_status,social_completed_at,timestamp without time zone,NULL,
file_pipeline_status,social_error_message,text,NULL,
file_pipeline_status,created_at,timestamp without time zone,NULL,now()
file_pipeline_status,updated_at,timestamp without time zone,NULL,now()
file_status,file_id,text,NOT NULL,
file_status,filename,text,NOT NULL,
file_status,status,text,NOT NULL,
file_status,chunks_count,integer,NULL,0
file_status,error_message,text,NULL,
file_status,created_at,timestamp with time zone,NULL,now()
file_status,updated_at,timestamp with time zone,NULL,now()
metrics,id,uuid,NOT NULL,gen_random_uuid()
metrics,metric_name,character varying,NOT NULL,
metrics,metric_value,numeric,NOT NULL,
metrics,tags,jsonb,NULL,'{}'::jsonb
metrics,recorded_at,timestamp with time zone,NULL,now()
password_reset_tokens,id,uuid,NOT NULL,gen_random_uuid()
password_reset_tokens,user_id,uuid,NULL,
password_reset_tokens,token,character varying,NOT NULL,
password_reset_tokens,expires_at,timestamp without time zone,NOT NULL,
password_reset_tokens,used,boolean,NULL,false
password_reset_tokens,created_at,timestamp without time zone,NULL,now()
password_resets,id,uuid,NOT NULL,gen_random_uuid()
password_resets,user_id,uuid,NULL,
password_resets,token_hash,character varying,NOT NULL,
password_resets,expires_at,timestamp without time zone,NOT NULL,
password_resets,created_at,timestamp without time zone,NULL,now()
social_content_generated,id,uuid,NOT NULL,gen_random_uuid()
social_content_generated,episode_title,character varying,NOT NULL,
social_content_generated,file_id,text,NULL,
social_content_generated,day_number,integer,NOT NULL,
social_content_generated,day_theme,character varying,NOT NULL,
social_content_generated,topic_title,text,NOT NULL,
social_content_generated,topic_category,character varying,NULL,
social_content_generated,instagram_content,text,NULL,
social_content_generated,facebook_content,text,NULL,
social_content_generated,linkedin_content,text,NULL,
